stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
H1ro140a,,"ROISIN Rue d' en Haut",,  50.342084,   3.692923,,,0
H1ro140b,,"ROISIN Rue d' en Haut",,  50.342312,   3.693134,,,0
H1ro141a,,"ROISIN Sortie du Village",,  50.331082,   3.700321,,,0
H1ro141b,,"ROISIN Sortie du Village",,  50.330975,   3.700547,,,0
H1ry134a,,"ROUVEROY Barrière d'Haubreux",,  50.339626,   4.086945,,,0
H1ry134b,,"ROUVEROY Barrière d'Haubreux",,  50.339864,   4.086865,,,0
H1ry135a,,"ROUVEROY Centre",,  50.355101,   4.062147,,,0
H1ry135b,,"ROUVEROY Centre",,  50.356232,   4.061218,,,0
H1ry135c,,"ROUVEROY Centre",,  50.355943,   4.062146,,,0
H1ry136a,,"ROUVEROY Noire Bouteille",,  50.348763,   4.070750,,,0
H1ry136b,,"ROUVEROY Noire Bouteille",,  50.348970,   4.070733,,,0
H1ry137a,,"ROUVEROY Route d'Haulchin",,  50.358314,   4.058117,,,0
H1ry137b,,"ROUVEROY Route d'Haulchin",,  50.358752,   4.057921,,,0
H1sa112a,,"SARS-LA-BUISSIERE Bergotte",,  50.332497,   4.214522,,,0
H1sa112b,,"SARS-LA-BUISSIERE Bergotte",,  50.332592,   4.214603,,,0
H1sa113a,,"SARS-LA-BUISSIERE Ferme Pinson",,  50.343196,   4.211727,,,0
H1sa113b,,"SARS-LA-BUISSIERE Ferme Pinson",,  50.343124,   4.211600,,,0
H1sa114a,,"SARS-LA-BUISSIERE Le Sartois",,  50.335466,   4.210208,,,0
H1sa114b,,"SARS-LA-BUISSIERE Le Sartois",,  50.335738,   4.210161,,,0
H1sa115a,,"SARS-LA-BUISSIERE Place de l'Eglise",,  50.339897,   4.210098,,,0
H1sa115b,,"SARS-LA-BUISSIERE Place de l'Eglise",,  50.340058,   4.210126,,,0
H1sb144a,,"SARS-LA-BRUYERE Casino",,  50.383843,   3.884045,,,0
H1sb144b,,"SARS-LA-BRUYERE Casino",,  50.383179,   3.884797,,,0
H1sb145a,,"SARS-LA-BRUYERE Ecoles",,  50.372647,   3.875573,,,0
H1sb145b,,"SARS-LA-BRUYERE Ecoles",,  50.372880,   3.876686,,,0
H1sb146a,,"SARS-LA-BRUYERE Les Communes",,  50.360866,   3.869486,,,0
H1sb146b,,"SARS-LA-BRUYERE Les Communes",,  50.361324,   3.868834,,,0
H1sb147a,,"SARS-LA-BRUYERE Les Plantis",,  50.362820,   3.867388,,,0
H1sb147b,,"SARS-LA-BRUYERE Les Plantis",,  50.363139,   3.868076,,,0
H1sb148a,,"SARS-LA-BRUYERE Rambourg",,  50.364280,   3.877603,,,0
